IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.52000000	      5.74396122	   -169.43870227	      5.42707135	      0.16082941	      1.44766364	      0.04999525	    -34.81062685	      1.48413314	      5.11074637	     46.59240158	      9.20409385	     -3.58973226	     -2.98366227	     34.99432129	      6.30178438	     24.44258178	    122.16716199
      7.53000000	      5.71775170	   -169.44754703	      5.41398289	      0.16086846	      1.44772708	      0.04989830	    -34.86539666	      1.60356921	      5.26577143	     46.69224778	      9.43417939	     -3.56321330	     -2.98054639	     35.70068568	      6.09650198	     24.27511964	    122.17960421
      7.54000000	      5.66949890	   -169.42943055	      5.43500611	      0.16103536	      1.44792833	      0.04962092	    -34.87108891	      1.68072686	      5.52761173	     46.62375813	      9.77060186	     -3.54011821	     -3.05199695	     36.16504931	      5.96336718	     24.15005603	    122.17137955
      7.55000000	      5.67266648	   -169.50217864	      5.42596529	      0.16096519	      1.44786469	      0.04967884	    -34.89959063	      1.75956311	      5.55476804	     46.80007173	      9.88587349	     -3.54893956	     -2.90972103	     37.15555875	      5.65478991	     23.97350656	    122.15932076
      7.56000000	      5.63851505	   -169.47081398	      5.45632978	      0.16116024	      1.44803231	      0.04938158	    -34.88394389	      1.84087347	      5.80845662	     46.71811628	     10.22466807	     -3.54200939	     -2.96519101	     37.59832862	      5.52016374	     23.83968501	    122.14916940
      7.57000000	      5.62743512	   -169.55492349	      5.45810016	      0.16107700	      1.44800377	      0.04943119	    -34.89604764	      1.90025426	      5.83087048	     46.84196302	     10.36955309	     -3.58661355	     -2.73833465	     38.53996226	      5.18842169	     23.65552479	    122.12319915
      7.58000000	      5.59536763	   -169.51918476	      5.49403900	      0.16127360	      1.44815952	      0.04913354	    -34.87516096	      1.98199933	      6.08305030	     46.74987555	     10.71114559	     -3.58595571	     -2.77901683	     38.95441050	      5.05451569	     23.52251490	    122.11068506
      7.59000000	      5.57952531	   -169.60785349	      5.49680409	      0.16117655	      1.44815623	      0.04918818	    -34.88606535	      2.03173405	      6.10458987	     46.83022373	     10.89048054	     -3.66180631	     -2.46552994	     39.84482197	      4.69850737	     23.32856664	    122.07139394
      7.60000000	      5.55333819	   -169.56622077	      5.53823237	      0.16137932	      1.44829463	      0.04889187	    -34.86141893	      2.11564108	      6.35692284	     46.72868853	     11.23535695	     -3.66542412	     -2.49637659	     40.22727494	      4.56773864	     23.19833517	    122.05700869
      7.61000000	      5.54589730	   -169.65731006	      5.53809876	      0.16126996	      1.44830265	      0.04897227	    -34.87812272	      2.16152465	      6.37637406	     46.77144117	     11.45257052	     -3.77288738	     -2.09439015	     41.06818679	      4.18770182	     23.00001862	    122.00397328
      7.62000000	      5.50427245	   -169.61429054	      5.59010422	      0.16146295	      1.44845016	      0.04867142	    -34.85691950	      2.23997008	      6.63303601	     46.65825226	     11.79617854	     -3.77096548	     -2.12307733	     41.40827665	      4.06308087	     22.87803740	    121.98813318
      7.63000000	      5.51784663	   -169.65960591	      5.69583112	      0.16156464	      1.44849329	      0.04849192	    -34.79354149	      2.19695002	      6.39711234	     45.80521749	     12.55998109	     -4.46298992	      0.20481723	     41.81521034	      2.17428615	     22.51066410	    121.62988406
      7.64000000	      5.45094101	   -169.63615287	      5.71932073	      0.16168271	      1.44865687	      0.04828252	    -34.80305023	      2.29789735	      6.64158050	     45.76825851	     12.87952974	     -4.43380386	      0.11979326	     42.16343501	      2.06479547	     22.40527410	    121.62007476
      7.65000000	      5.46834556	   -169.68151365	      5.68439793	      0.16163352	      1.44862603	      0.04839128	    -34.86766703	      2.42267422	      6.75597705	     45.90705540	     13.13650457	     -4.42978486	      0.17095959	     42.79698849	      1.86750158	     22.25058948	    121.61146310
      7.66000000	      5.41462557	   -169.65483349	      5.74073316	      0.16174352	      1.44878817	      0.04815907	    -34.86785393	      2.49398379	      7.00078087	     45.83322415	     13.44540533	     -4.39784236	      0.11354204	     43.12249308	      1.78089382	     22.15547424	    121.60425055
      7.67000000	      5.43976029	   -169.63430650	      5.75349620	      0.16185865	      1.44885649	      0.04801476	    -34.86731550	      2.57730997	      7.22734137	     45.79055336	     13.76662479	     -4.38990775	      0.08708396	     43.53302278	      1.68993594	     22.05263178	    121.59783509
      7.68000000	      5.34083357	   -169.64500225	      5.96729908	      0.16193109	      1.44869486	      0.04791053	    -34.88078732	      2.72618731	      7.40090646	     45.77747743	     13.98289769	     -4.36683377	      0.06046409	     43.73272866	      1.65424822	     22.04146929	    121.59137925
      7.69000000	      5.44423460	   -169.70669587	      5.78634377	      0.16175587	      1.44899500	      0.04804372	    -34.95848332	      2.69674715	      7.53490840	     45.82691472	     14.32495636	     -4.40625959	      0.30498061	     44.57860439	      1.50305318	     21.84396114	    121.58914002
      7.70000000	      5.34266374	   -169.71696498	      5.99725257	      0.16185758	      1.44880555	      0.04797060	    -34.97332306	      2.84059934	      7.70987397	     45.80504760	     14.54102987	     -4.38343510	      0.27371421	     44.76928996	      1.46776104	     21.82920819	    121.58280398
      7.71000000	      5.39617591	   -169.66819497	      5.92882656	      0.16198323	      1.44913888	      0.04771461	    -35.00068929	      2.75368189	      7.62533824	     45.16830458	     15.34484465	     -4.62035279	      1.54144670	     45.21006918	      0.67224911	     21.51285361	    121.45207679
